date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,GLD,USO
2013-01-02 05:00:00,146.06,67.2,86.8,57.745,45.225,66.62,119.56,106.99,163.17,270.56
2013-01-03 05:00:00,145.7341,66.8521,86.6,57.18,44.9024,66.61,117.94,106.45,161.2,269.92
2013-01-04 05:00:00,146.37,66.63,87.24,57.47,44.99,66.9187,118.4,106.49,160.44,271.04
2013-01-07 05:00:00,145.9695,66.6504,86.91,57.2201,44.65,67.07,118.4499,106.56,159.43,271.36
2013-01-08 05:00:00,145.5496,66.52,86.8487,56.9,44.25,66.94,119.23,106.82,160.56,271.68
2013-01-09 05:00:00,145.92,66.77,87.27,57.19,44.44,67.13,119.12,106.88,160.49,271.04
2013-01-10 05:00:00,147.08,67.17,87.47,57.92,44.825,67.2,118.79,106.57,161.98,273.36
2013-01-11 05:00:00,147.07,67.26,87.34,58.04,44.47,67.16,119.85,106.91,161.06,272.48
2013-01-14 05:00:00,146.97,66.96,87.39,58.11,44.66,67.35,119.52,106.87,161.54,274.24
2013-01-15 05:00:00,147.07,66.63,87.77,58.02,44.47,67.67,120.07,107.13,162.558,271.92
2013-01-16 05:00:00,147.05,66.9,87.51,57.74,44.43,67.59,120.32,107.27,162.65,274.24
2013-01-17 05:00:00,148.0,67.22,88.32,58.21,44.678,67.8,119.12,106.78,163.35,277.36
2013-01-18 05:00:00,148.33,67.07,88.57,58.15,44.775,68.09,120.04,107.08,163.09,278.16
2013-01-22 05:00:00,149.13,67.18,89.21,58.18,44.705,68.44,120.27,107.17,163.67,280.08
2013-01-23 05:00:00,149.37,67.59,89.0,58.12,44.47,68.42,120.09,107.22,163.21,276.88
2013-01-24 05:00:00,149.41,66.66,89.29,58.4,44.31,68.56,119.67,107.04,161.42,278.08
2013-01-25 05:00:00,150.25,67.0,89.94,59.03,44.16,68.95,118.03,106.33,160.65,278.24
2013-01-28 05:00:00,150.07,67.15,90.0,58.74,43.85,69.13,117.6,106.11,160.29,279.52
2013-01-29 05:00:00,150.66,67.16,90.05,59.14,44.34,69.33,116.95,105.95,160.99,282.32
2013-01-30 05:00:00,150.07,67.02,88.97,59.2,44.13,68.67,116.75,106.01,162.19,283.92
2013-01-31 05:00:00,149.7,66.87,89.58,58.98,44.215,68.26,117.32,106.1,161.2,282.24
2013-02-01 05:00:00,151.24,67.66,90.37,59.45,44.505,68.66,115.54,105.6,161.45,282.8
2013-02-04 05:00:00,149.535,66.48,89.28,58.38,43.92,68.5,117.02,106.21,162.0,278.24
2013-02-05 05:00:00,151.05,67.46,90.08,58.65,43.97,68.34,115.98,105.83,161.96,280.24
2013-02-06 05:00:00,151.16,67.24,90.46,58.64,43.92,68.58,116.93,106.15,162.39,280.32
2013-02-07 05:00:00,150.96,67.3,90.16,58.16,43.53,68.29,116.67,106.2,161.84,277.44
2013-02-08 05:00:00,151.8,67.99,90.8,58.53,43.85,68.92,117.12,106.28,161.57,277.6
2013-02-11 05:00:00,151.77,68.01,90.7,58.47,43.83,69.02,117.03,106.17,159.7,280.96
2013-02-12 05:00:00,152.02,67.73,91.1,58.76,43.95,69.54,116.74,106.06,159.89,282.24
2013-02-13 05:00:00,152.151,67.97,91.48,58.9,44.17,69.5,115.79,105.69,159.05,281.52
2013-02-14 05:00:00,152.29,67.95,91.71,58.58,44.145,69.21,116.84,106.14,158.348,282.16
2013-02-15 05:00:00,152.11,67.75,91.74,58.43,43.99,69.24,116.5,106.04,155.76,277.76
2013-02-19 05:00:00,153.25,68.24,92.55,59.12,44.08,69.79,115.92,105.87,155.33,279.68
2013-02-20 05:00:00,151.34,67.19,90.8299,58.54,43.685,69.34,116.27,106.1,151.44,273.36
2013-02-21 05:00:00,150.42,66.47,89.95,57.66,43.09,68.82,116.95,106.31,152.62,267.44
2013-02-22 05:00:00,151.89,67.139,91.03,58.49,43.28,69.51,117.03,106.44,152.97,268.8
2013-02-25 05:00:00,149.0,66.31,89.02,57.09,42.7,68.19,119.33,107.26,154.34,265.68
2013-02-26 05:00:00,150.02,66.56,89.37,57.55,42.94,68.66,118.64,107.06,156.22,266.64
2013-02-27 05:00:00,151.91,67.239,90.31,58.28,43.41,69.16,118.29,107.01,154.57,267.2
2013-02-28 05:00:00,151.61,67.1,90.48,58.215,43.205,69.09,118.51,107.16,153.0,264.48
